"Titular";"id";"V1";"evidence_V1";"V2";"evidence_V2";"V3";"evidence_V3";"V4";"evidence_V4"
"Las imágenes más devastadoras del paso de la DANA";60;1;"Token: devast\w*";0;"Absence";0;"Absence";0;"Absence"
"Los satélites de la NASA muestran la catástrofe de la DANA en Valencia, Requena y Letur desde el espacio";67;1;"Token: catastrof\w*";0;"Absence";0;"Absence";0;"Absence"
"Revive el pánico de la presa de Tous: la DANA que sumergió pueblos enteros en Valencia";69;1;"Expresion: revive el panico";1;"Patron: sumerg\w* + pueblo\w*";0;"Absence";0;"Absence"
"La prensa internacional lleva a sus portadas las devastadoras consecuencias de la DANA: «España, apocalipsis de lluvia»";72;1;"Token: apocalipsis";0;"Absence";0;"Absence";0;"Absence"
"Así refleja la prensa internacional el impacto de la DANA en España: «Parecía el fin del mundo»";86;1;"Expresion: fin del mundo";0;"Absence";0;"Absence";0;"Absence"
"La DANA permanecerá hasta el domingo y se espera una nueva a mediados de la próxima semana en la misma zona";99;0;"Absence";0;"Absence";0;"Absence";1;"Patron: proxim\w* + dana\w*"
"¿Cuántos coches han quedado destruidos por la DANA? Esta es la cifra del Consorcio de Compensación de Seguros";107;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Carreteras cortadas por la DANA hoy en España: zonas afectadas, cortes de tráfico de la DGT";110;0;"Absence";1;"Patron: cort\w* + carretera\w*";0;"Absence";1;"Token: afectad\w*"
"El Ciutat de València llora por la DANA: sobrecogedor homenaje a las víctimas antes del Levante-Elche";111;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
"Mestalla, centro de operaciones del Banco de Alimentos para ayudar a los afectados por la DANA";121;0;"Absence";0;"Absence";0;"Absence";1;"Token: afectad\w*"
"Vicente Tarancón, fundador de Luanvi, entre los desaparecidos por la DANA";127;0;"Absence";0;"Absence";1;"Token: desaparecid\w*";0;"Absence"
"La grada del Inter apoya a Valencia: \"Cercanos al dolor del pueblo valenciano\"";129;0;"Absence";0;"Absence";0;"Absence";0;"Absence"
